Row,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2022/03/30,0,0,0.329661995053586,0.0903742786479802,0.088517724649629,0.0693816982687551,0.317691673536686,0.0752745259686727,0.0290981038746908
2022/03/31,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/01,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/02,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/03,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/04,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/05,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/06,0,0,0.0568711381469368,0.178853339126725,0.346544614005523,0.23692034282784,0.121185609685924,0.0355334519412754,0.0240915042657757
2022/04/07,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/08,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/09,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/10,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/11,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/12,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/13,0,0,0.237875641104389,0.0570525321703879,0.091394325266423,0.0831549821872793,0.246423539664015,0.279436096864347,0.00466288274315899
2022/04/14,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/15,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/16,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/17,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/18,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/19,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/20,0,0,0.0361526735763939,0.0291244286445425,0.0821465463601918,0.0849269266804434,0.469697664005724,0.295445774578292,0.00250598615441269
2022/04/21,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/22,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/23,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/24,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/25,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/26,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/27,0,0,0.00686583720002743,0.0239751679340368,0.0541626801266904,0.0504950633485338,0.757329740620229,0.104946372298557,0.0022251384719251
2022/04/28,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/04/29,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/04/30,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/05/01,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/05/02,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/05/03,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/05/04,0,0,0.0391497896423328,0.0701737668677145,0.103089714489247,0.0952717826317249,0.588206958823522,0.101679772674401,0.00242821487105818
2022/05/05,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/06,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/07,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/08,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/09,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/10,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/11,0,0,0.146072732581005,0.094986359795167,0.125703270747464,0.562171075980249,0.0551170521979457,0.0128812996385379,0.00306820905963165
2022/05/12,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/13,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/14,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/15,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/16,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/17,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/18,0,0.00773103340999962,0.151447544901627,0.10656646242977,0.150809691844579,0.539220625741675,0.0297423445404376,0.0102193451440501,0.00426295198786123
2022/05/19,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/20,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/21,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/22,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/23,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/24,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/25,0,4.5432947594988e-05,0.175500850921248,0.112648154002548,0.189400493326089,0.500426880403445,0.0149114720085717,0.00460008594399253,0.00246663044651122
2022/05/26,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
2022/05/27,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
2022/05/28,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
2022/05/29,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
2022/05/30,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
2022/05/31,0,1.94266787910432e-05,0.123200005109483,0.0847554061386708,0.143979366205935,0.623565519401531,0.0175579919626774,0.00487556413877674,0.0020467203641358
